Company ,Employer/Aggregator,Priority,Checked,JBoard,Job Listing (1) ,Job Listing (2) ,Status,Issue,Search term alt protein,Additional data / notes,Company's general website,,
Nasoya,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11666,https://www.linkedin.com/jobs/search/?currentJobId=3737253955&f_C=10685632&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3737253955%2C3730229426%2C3730774725%2C3730790217%2C3730237026%2C3730229214%2C3730228750,,No jobs on JBoard but jobs listed on website,"JBoard says ""unable to detect jobs""
No jobs listed on JBoard but 7 jobs on LinkedIn ",https://altproteincareers.com/jobs?q=nasoya&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.nasoya.com/about-us/,,
Applied Food Sciences,Employer,,,,,,,,,,,,
Konscious Foods,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11664,https://www.linkedin.com/jobs/search/?currentJobId=3709752976&f_C=82854049&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3709752976,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 1 job on Company's website,https://altproteincareers.com/jobs?q=konscious+foods&category=&posted_at=&location=&location_id=3&search_radius=,,https://ca.linkedin.com/company/konsciousfoods,https://www.konscious.com/pages/about,
Wenger,Employer,,,,,,,,,,,,
MycoWorks,Aggregator,8,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11629,https://www.mycoworks.com/careers,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 15 US-based jobs on Company's website,https://altproteincareers.com/jobs?q=mycoworks&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.mycoworks.com/careers,,
Ark Biotech,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7167,https://www.linkedin.com/jobs/search/?currentJobId=3575818120&f_C=80166987&geoId=92000000&originToLandingJobPostings=3575818120,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 6 jobs on Company's website,https://altproteincareers.com/jobs?q=ark+biotech&category=&posted_at=&location=&location_id=3&search_radius=,,https://ark-biotech.com/,,
Three Trees,Employer,,,,,,,,,,threetrees.com,,
Meati ,Aggregator,9,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7031,https://www.linkedin.com/jobs/search/?currentJobId=3731947846&f_C=11059874&geoId=92000000&origin=JOB_SEARCH_PAGE_JOB_FILTER,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 7 jobs on Company's website,https://altproteincareers.com/jobs?q=meati&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/meati,https://boards.greenhouse.io/meatifoods,
Essential,Employer,,,,,,,,,,www.essentialimpact.org,,
,,,,,,,,,,,,,
"Pulmuone Foods USA, Inc.",Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/10159,https://www.linkedin.com/jobs/search/?currentJobId=3687251019&f_C=1318584&geoId=92000000&originToLandingJobPostings=3687251019%2C3710494107%2C3697071389%2C3693478171%2C3693476662%2C3702480428,,No jobs on JBoard but jobs listed on website,"JBoard says ""unable to detect jobs""
No jobs listed on JBoard but 9 jobs on Company's website",https://altproteincareers.com/jobs?q=pulmuone&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/pulmuone-foods-usa-inc-,,
Savor,Employer,,,,,,,,,,,,
PURIS Proteins/Grains,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/10805,https://recruiting.paylocity.com/Recruiting/Jobs/All/7016bea2-43b3-4728-b2d6-ef438a621e35/PURIS,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 10 jobs on Company's website,https://altproteincareers.com/jobs?q=puris&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.puris.com/careers/,,
,,,,,,,,,,,,,
Prolific Machines Inc.,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7157,https://boards.greenhouse.io/prolificmachines?gh_src=fa14c11e4us,https://www.linkedin.com/jobs/search/?currentJobId=3659993862&f_C=65867858&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3659993862%2C3679564750,JBoard showing job duplicates ,JBoard has jobs listed twice,https://altproteincareers.com/jobs?q=prolific&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/prolific-machines,https://www.prolificmachines.com/,
USDA,Employer,,,,,,,,,,,,
Alt Protein Careers,Employer,,,,,,,,,,www.altproteincareers.com,,
Oobli,Employer,,,,,,,,,,https://oobli.com/,,
"Tyson Foods, Inc.",Employer,,,,,,,,,,https://www.tysonfoods.com/,,
Conagra Brands,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/9539,https://careers.conagrabrands.com/us/en/search-results?keywords=%22plant%20based%20protein%22,,No jobs on JBoard but jobs listed on website,"JBoard says ""unable to detect jobs""
No jobs on JBoard but over 300 jobs listed on Company's website",https://altproteincareers.com/jobs?q=conagra&category=&posted_at=&location=&location_id=3&search_radius=,"Name on JBoard  Aggregator is ""conagrabrands.com"" instead of the Congra Brands",https://careers.conagrabrands.com/us/en/,,
Kellogg's,Employer,,,,,,,,,,https://www.kelloggs.com/en_US/home.html,,
Mars Wrigley,Employer,,,,,,,,,,https://www.mars.com/our-brands/mars-snacking,,
Unilever,Employer,,,,,,,,,,https://www.unilever.com/,,
The Hershey Company,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/9527,https://careers.thehersheycompany.com/search/?createNewAlert=false&q=&optionsFacetsDD_country=&optionsFacetsDD_location=&optionsFacetsDD_city=&optionsFacetsDD_title=&optionsFacetsDD_customfield1=&optionsFacetsDD_customfield2=,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but over 300 jobs on Company's website,https://altproteincareers.com/jobs?q=hershey&category=&posted_at=&location=&location_id=3&search_radius=,sometimes 2 jobs appear in APC search but still missing many jobs,https://www.thehersheycompany.com/en_us/home.html,,
Mondelez International,Employer,,,,,,,,,,https://www.mondelezinternational.com/,,
Pepsico,Employer,,,,,,,,,,https://www.pepsico.com/,,
Chunk,Employer,,,,,,,,,,,,
The Better Meat Co,Employer,,,,,,,,,,https://www.bettermeat.co/,,
Algatech,Employer,,,,,,,,,,https://www.algatech.com/,,
Rebellyous Foods,Employer,,,,,,,,,,https://www.rebellyous.com/,,
Ingredion,Employer,,,,,,,,,,https://www.ingredion.com/na/en-us.html,,
Food System Innovations (FSI),Employer,,,,,,,,,,,,
Sunfed,Employer,,,,,,,,,,http://sunfedfoods.com,,
MasterFoods,Employer,,,,,,,,,,,,
Algemy Ingredients S.L.,Employer,,,,,,,,,,www.algemy.eu,,
Chromologics,Employer,,,,,,,,,,https://dk.linkedin.com/company/chromologics,,
Kern Tec,Employer,,,,,,,,,,https://at.linkedin.com/company/kern-tec,,
"Motif FoodWorks, Inc.",Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7156,https://www.linkedin.com/jobs/search/?currentJobId=3573013862&f_C=13979867&geoId=92000000&originToLandingJobPostings=3573013862%2C3573011899%2C3573019648%2C3573026716,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 6 jobs on LinkedIn and 3 jobs on Company's website,https://altproteincareers.com/jobs?q=motif&category=&posted_at=&location=&location_id=3&search_radius=,,https://madewithmotif.com/careers/,,
